date_time,Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),Verified (m),diked_model_m,volume_m3,Qtotal_m3s
2022-07-21 04:06:00,2022/07/21,04:06,0.891,-,1.33,0.405384,1.159214691696457,706175.1938141125,36.27931636591363
2022-07-21 04:12:00,2022/07/21,04:12,0.906,-,1.36,0.41452800000000006,1.1373218609961429,693114.6399223836,29.847387629360888
2022-07-21 04:18:00,2022/07/21,04:18,0.933,-,1.4,0.42672,1.119087103360881,682369.5803758136,28.534772227750132
2022-07-21 04:24:00,2022/07/21,04:24,0.971,-,1.44,0.438912,1.101628075616799,672097.0623738236,3.871045662189387
2022-07-21 04:30:00,2022/07/21,04:30,1.019,-,1.5,0.45720000000000005,1.0992595726171837,670703.4859354354,25.681864758628524
2022-07-21 04:36:00,2022/07/21,04:36,1.078,-,1.59,0.48463200000000006,1.0835460990431909,661458.0146223292,22.608810840514437
2022-07-21 04:42:00,2022/07/21,04:42,1.145,-,1.69,0.515112,1.0696564942508886,653318.842719744,3.5969909881431703
2022-07-21 04:48:00,2022/07/21,04:48,1.221,-,1.8,0.54864,1.067424838893026,652023.9259640124,12.053552320964844
2022-07-21 04:54:00,2022/07/21,04:54,1.306,-,1.93,0.588264,1.0599465397515977,647684.647128465,3.368392116268114
2022-07-21 05:00:00,2022/07/21,05:00,1.398,-,2.05,0.62484,1.0578567123546345,646472.0259666084,3.254849144241967
2022-07-21 05:06:00,2022/07/21,05:06,1.498,-,2.17,0.661416,1.055837329610634,645300.2802746813,1.2106569595450094
2022-07-21 05:12:00,2022/07/21,05:12,1.605,-,2.3,0.70104,1.0550862103837002,644864.4437692451,1.1815106230690877
2022-07-21 05:18:00,2022/07/21,05:18,1.719,-,2.44,0.743712,1.054353174209566,644439.0999449402,1.148255254315151
2022-07-21 05:24:00,2022/07/21,05:24,1.84,-,2.57,0.783336,1.0536407704256998,644025.7280533868,1.1151962328410407
2022-07-21 05:30:00,2022/07/21,05:30,1.966,-,2.7,0.8229600000000001,1.0529488772137647,643624.257409564,1.0795826487440587
2022-07-21 05:36:00,2022/07/21,05:36,2.099,-,2.83,0.862584,1.052279079482754,643235.6076560161,1.040706998582245
2022-07-21 05:42:00,2022/07/21,05:42,2.238,-,2.93,0.8930640000000001,1.0516334010929533,642860.9531365265,1.0077462048395858
2022-07-21 05:48:00,2022/07/21,05:48,2.383,-,3.05,0.92964,1.0510081723323563,642498.1645027843,0.9637525232783946
2022-07-21 05:54:00,2022/07/21,05:54,2.534,-,3.22,0.9814560000000001,1.0504102382565363,642151.213594404,0.8880099873841193
2022-07-21 06:00:00,2022/07/21,06:00,2.691,-,3.39,1.0332720000000002,1.049859296579809,641831.5299989458,0.7698776838536795
2022-07-21 06:06:00,2022/07/21,06:06,2.853,-,3.53,1.075944,1.0493816468821215,641554.3740327584,-0.4060049961978234
2022-07-21 06:12:00,2022/07/21,06:12,3.02,-,3.7,1.12776,1.049633541654188,641700.5358313896,-1.165464977960007
